NAME_1,percentage
Aguascalientes,72.85
Baja California,80.35
Baja California Sur,66.86
Campeche,62.48
Coahuila,71.21
Colima,64.29
Chiapas,33.52
Chihuahua,69.24
Distrito Federal,75.57
Durango,60.3
Guanajuato,49.77
Guerrero,53.51
Hidalgo,66.08
Jalisco,72.9
México,80.99
Michoacán,52.76
Morelos,70.32
Nayarit,60.69
Nuevo León,77.31
Oaxaca,41.08
Puebla,64.31
Querétaro,73.74
Quintana Roo,63.44
San Luis Potosí,43.06
Sinaloa,57.83
Sonora,66.72
Tabasco,39.5
Tamaulipas,61.65
Tlaxcala,61.95
Veracruz,61.8
Yucatán,61.83
Zacatecas,47.25
