NAME_1,percentage
Aguascalientes,44.94
Baja California,45.92
Baja California Sur,38.63
Campeche,47.07
Coahuila,41.69
Colima,33.47
Chiapas,20.9
Chihuahua,43.63
Distrito Federal,46.41
Durango,37.24
Guanajuato,29.35
Guerrero,23.05
Hidalgo,37.3
Jalisco,38.8
México,37.34
Michoacán,31.0
Morelos,36.05
Nayarit,33.5
Nuevo León,41.44
Oaxaca,19.94
Puebla,32.23
Querétaro,42.98
Quintana Roo,35.38
San Luis Potosí,33.43
Sinaloa,39.99
Sonora,52.42
Tabasco,25.83
Tamaulipas,28.71
Tlaxcala,36.08
Veracruz,38.24
Yucatán,39.84
Zacatecas,33.06
