ENT,SEXO,EDAD,P3_6,P3_7,P3_8,P3_11,P3_12_1,P3_12_2,P3_12_3,P3_12_4,P3_12_5,P3_12_6,P3_12_7,P3_12_8,P3_13,P3_14,P3_15,P3_16,P3_17_1,P3_17_2,P3_17_3,P3_17_4,P3_17_5,P3_17_6,P3_17_7,P3_17_8,P3_18,P3_20,P3_23,P3_24,P3_25_1,P3_25_2,P3_25_3,P3_25_4,P3_25_5,P3_26,FACTOR,P3_13_w,P3_7_w,P3_8_w,P3_11_w,P3_12_1_w,P3_12_2_w,P3_12_3_w,P3_12_4_w,P3_12_5_w,P3_12_6_w,P3_12_7_w,P3_12_8_w,P3_14_w,P3_16_w,P3_17_1_w,P3_17_2_w,P3_17_3_w,P3_17_4_w,P3_17_5_w,P3_17_6_w,P3_17_7_w,P3_17_8_w,P3_20_w,P3_23_w,Region,gender_string,P3_6_string,P3_15_string
1,1,9,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,1,1.0,,,,,,,,,,,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,4,1374,,1374.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1374.0,0.0,1374,,,,,,,,,,1374.0,1374.0,Northcenter,male,public,public
1,2,28,,,,,,,,,,,,,,0,,0.0,,,,,,,,,3.0,,,,,,,,,5,1374,,,,,,,,,,,,,0,0.0,,,,,,,,,,,Northcenter,female,public,public
1,1,8,1.0,1.0,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,1.0,,,,,,,,,,,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1,887,887.0,887.0,,887.0,0.0,0.0,0.0,887.0,0.0,0.0,0.0,0.0,887,,,,,,,,,,887.0,887.0,Northcenter,male,public,public
1,2,17,1.0,1.0,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,,0.0,,,,,,,,,3.0,,,,,,,,,5,887,887.0,887.0,,887.0,0.0,887.0,0.0,887.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,Northcenter,female,public,public
1,1,19,,,,,,,,,,,,,,0,,0.0,,,,,,,,,3.0,,,,,,,,,5,887,,,,,,,,,,,,,0,0.0,,,,,,,,,,,Northcenter,male,public,public
1,2,20,,,,,,,,,,,,,,0,,0.0,,,,,,,,,3.0,,,,,,,,,5,887,,,,,,,,,,,,,0,0.0,,,,,,,,,,,Northcenter,female,public,public
1,2,22,2.0,1.0,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,2.0,,,,,,,,,,,1.0,0.0,,0.0,0.0,1.0,0.0,0.0,2,1450,0.0,1450.0,,1450.0,0.0,1450.0,0.0,1450.0,0.0,0.0,0.0,0.0,1450,,,,,,,,,,1450.0,0.0,Northcenter,female,private,private
1,2,6,1.0,1.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1.0,,,,,,,,,,,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1,941,941.0,941.0,,941.0,0.0,941.0,0.0,0.0,0.0,0.0,0.0,0.0,941,,,,,,,,,,941.0,941.0,Northcenter,female,public,public
1,1,14,1.0,1.0,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1.0,,,,,,,,,,,1.0,0.0,,0.0,1.0,0.0,0.0,0.0,1,941,0.0,941.0,,941.0,0.0,0.0,0.0,941.0,0.0,0.0,0.0,0.0,941,,,,,,,,,,941.0,0.0,Northcenter,male,public,public
1,2,18,1.0,1.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,,,,,,,,,,,1.0,0.0,,0.0,1.0,1.0,0.0,0.0,1,941,0.0,941.0,,941.0,0.0,941.0,0.0,0.0,0.0,0.0,0.0,0.0,941,,,,,,,,,,941.0,0.0,Northcenter,female,public,public
1,2,25,2.0,0.0,0.0,,,,,,,,,,,0,,0.0,,,,,,,,,8.0,,,,,,,,,1,941,,0.0,0.0,,,,,,,,,,0,0.0,,,,,,,,,,,Northcenter,female,private,public
1,2,6,1.0,1.0,,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,9.0,1,1.0,,,,,,,,,,,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1,1303,11727.0,1303.0,,1303.0,0.0,0.0,0.0,1303.0,0.0,1303.0,0.0,0.0,1303,,,,,,,,,,0.0,1303.0,Northcenter,female,public,public
