NAME_1,percentage
Aguascalientes,77.2
Baja California,83.66
Baja California Sur,79.23
Campeche,78.06
Coahuila,77.06
Colima,85.67
Chiapas,57.99
Chihuahua,75.53
Distrito Federal,82.8
Durango,80.63
Guanajuato,57.94
Guerrero,61.35
Hidalgo,64.95
Jalisco,63.7
México,80.24
Michoacán,67.82
Morelos,68.77
Nayarit,64.92
Nuevo León,81.84
Oaxaca,57.78
Puebla,65.09
Querétaro,82.2
Quintana Roo,69.83
San Luis Potosí,64.3
Sinaloa,71.14
Sonora,68.64
Tabasco,73.13
Tamaulipas,82.65
Tlaxcala,67.31
Veracruz,71.41
Yucatán,68.4
Zacatecas,77.29
