NAME_1,percentage
Aguascalientes,26.37
Baja California,28.75
Baja California Sur,17.19
Campeche,19.41
Coahuila,15.73
Colima,23.21
Chiapas,9.17
Chihuahua,21.16
Distrito Federal,29.94
Durango,17.67
Guanajuato,8.74
Guerrero,10.9
Hidalgo,19.16
Jalisco,23.98
México,28.88
Michoacán,14.56
Morelos,12.3
Nayarit,12.93
Nuevo León,24.38
Oaxaca,11.07
Puebla,27.44
Querétaro,33.86
Quintana Roo,13.59
San Luis Potosí,13.3
Sinaloa,11.75
Sonora,24.3
Tabasco,16.85
Tamaulipas,12.25
Tlaxcala,17.72
Veracruz,19.48
Yucatán,12.47
Zacatecas,19.68
