NAME_1,percentage
Aguascalientes,94.13
Baja California,94.47
Baja California Sur,94.42
Campeche,95.71
Coahuila,93.1
Colima,84.31
Chiapas,84.67
Chihuahua,92.45
Distrito Federal,98.2
Durango,90.45
Guanajuato,95.3
Guerrero,87.61
Hidalgo,93.17
Jalisco,92.31
México,94.7
Michoacán,87.6
Morelos,93.41
Nayarit,86.96
Nuevo León,88.54
Oaxaca,86.7
Puebla,78.58
Querétaro,85.25
Quintana Roo,90.92
San Luis Potosí,83.84
Sinaloa,96.56
Sonora,96.7
Tabasco,93.13
Tamaulipas,96.47
Tlaxcala,92.66
Veracruz,96.12
Yucatán,96.66
Zacatecas,87.53
