NAME_1,percentage
Aguascalientes,29.16
Baja California,23.18
Baja California Sur,20.69
Campeche,27.28
Coahuila,28.41
Colima,24.0
Chiapas,12.65
Chihuahua,25.47
Distrito Federal,24.64
Durango,23.12
Guanajuato,14.04
Guerrero,10.01
Hidalgo,25.5
Jalisco,27.73
México,20.9
Michoacán,17.62
Morelos,23.14
Nayarit,23.01
Nuevo León,32.79
Oaxaca,6.54
Puebla,23.69
Querétaro,22.12
Quintana Roo,15.12
San Luis Potosí,24.79
Sinaloa,21.85
Sonora,22.22
Tabasco,14.83
Tamaulipas,20.23
Tlaxcala,9.69
Veracruz,19.01
Yucatán,18.5
Zacatecas,15.74
